Subrubro,ID,Fecha,Omega,Ventas,Comision,Modelo,Dato_original,Y_pct_Ventas,Y_pct_Comision,F_pct_Ventas,F_pct_Comision
Com. Varios,20,2019-01-01,1,,,0,0,,,,
Com. Varios,23,2019-01-01,1,,,0,0,,,,
Com. Varios,311,2019-01-01,1,,,0,0,,,,
Com. Varios,559,2019-01-01,1,,,0,0,,,,
Com. Varios,716,2019-01-01,1,,,0,0,,,,
Com. Varios,830,2019-01-01,1,,,0,0,,,,
Com. Varios,907,2019-01-01,1,,,0,1,,,,
Com. Varios,1025,2019-01-01,1,,,0,0,,,,
Com. Varios,1145,2019-01-01,1,584993.9361595717,16087.318083140088,0,1,,,,
Com. Varios,1345,2019-01-01,1,,,0,1,,,,
Com. Varios,1492,2019-01-01,1,,,0,1,,,,
Com. Varios,2255,2019-01-01,1,,,0,1,,,,
Com. Varios,2318,2019-01-01,1,6239443.955182082,171584.71765513546,0,1,,,,
Com. Varios,2421,2019-01-01,1,,,0,0,,,,
Com. Varios,2720,2019-01-01,1,,,0,1,,,,
Com. Varios,2975,2019-01-01,1,,,0,1,,,,
Com. Varios,3076,2019-01-01,1,,,0,0,,,,
Com. Varios,3087,2019-01-01,1,,,0,0,,,,
Com. Varios,3130,2019-01-01,1,,,0,0,,,,
Comb.,666,2019-01-01,1,,,0,0,,,,
Comb.,2162,2019-01-01,1,22445891.890591934,729491.5051605373,0,1,,,,
Comb.,2356,2019-01-01,1,,,0,0,,,,
Comb. Ley,730,2019-01-01,1,5307935.78234093,172507.9017381247,0,1,,,,
Comb. Ley,2211,2019-01-01,1,,,0,0,,,,
Comb. Reventa,1033,2019-01-01,1,,,0,0,,,,
Comb. Reventa,2636,2019-01-01,1,,,0,1,,,,
Comb. Reventa,3122,2019-01-01,1,,,0,0,,,,
Gondola,302,2019-01-01,1,,,0,0,,,,
Gondola,661,2019-01-01,1,,,0,1,,,,
Gondola,957,2019-01-01,1,1457462.368501235,40808.97743518937,0,1,,,,
Gondola,974,2019-01-01,1,774406.4831837439,30976.249289557887,0,1,,,,
Gondola,1419,2019-01-01,1,,,0,0,,,,
Gondola,2113,2019-01-01,1,,,0,1,,,,
Gondola,2306,2019-01-01,1,,,0,0,,,,
Gondola,2983,2019-01-01,1,,,0,1,,,,
Miscelaneo,525,2019-01-01,1,19490407.07156849,,0,1,,,,
Miscelaneo,782,2019-01-01,1,,,0,1,,,,
Miscelaneo,907,2019-01-01,1,,,0,0,,,,
Miscelaneo,1503,2019-01-01,1,,,0,1,,,,
Miscelaneo,1551,2019-01-01,1,,,0,1,,,,
Miscelaneo,2163,2019-01-01,1,,,0,0,,,,
Miscelaneo,2684,2019-01-01,1,,,0,1,,,,
Miscelaneo,2819,2019-01-01,1,,,0,1,,,,
Miscelaneo,2941,2019-01-01,1,,,0,0,,,,
Miscelaneo,2983,2019-01-01,1,,,0,0,,,,
Miscelaneo,3100,2019-01-01,1,,,0,0,,,,
Miscelaneo,3129,2019-01-01,1,,,0,0,,,,
Miscelaneo,3138,2019-01-01,1,,,0,0,,,,
Supermercados,10,2019-01-01,1,,,0,0,,,,
Supermercados,781,2019-01-01,1,,,0,0,,,,
Supermercados,1194,2019-01-01,1,,,0,0,,,,
Vehiculos,111,2019-01-01,1,,,0,0,,,,
Vehiculos,189,2019-01-01,1,,,0,0,,,,
Vehiculos,381,2019-01-01,1,,,0,0,,,,
Vehiculos,878,2019-01-01,1,,,0,0,,,,
Vehiculos,1232,2019-01-01,1,,,0,1,,,,
Vehiculos,1603,2019-01-01,1,1909942.813547728,79453.63964695974,0,1,,,,
Vehiculos,2403,2019-01-01,1,,,0,0,,,,
Vehiculos,3120,2019-01-01,1,,,0,0,,,,
Vehiculos,3134,2019-01-01,1,,,0,0,,,,
Venta Agrop.,1727,2019-01-01,1,,,0,0,,,,
Com. Varios,20,2019-02-01,1,,,0,0,,,,
Com. Varios,23,2019-02-01,1,,,0,0,,,,
Com. Varios,311,2019-02-01,1,,,0,0,,,,
Com. Varios,559,2019-02-01,1,,,0,0,,,,
Com. Varios,716,2019-02-01,1,,,0,0,,,,
Com. Varios,830,2019-02-01,1,,,0,0,,,,
Com. Varios,907,2019-02-01,1,,,0,1,,,,
Com. Varios,1025,2019-02-01,1,,,0,0,,,,
Com. Varios,1145,2019-02-01,1,427529.4735620363,11757.079567705428,0,1,,,,
Com. Varios,1345,2019-02-01,1,,,0,1,,,,
Com. Varios,1492,2019-02-01,1,,,0,1,,,,
Com. Varios,2255,2019-02-01,1,,,0,1,,,,
Com. Varios,2318,2019-02-01,1,,,0,0,,,,
Com. Varios,2421,2019-02-01,1,,,0,0,,,,
Com. Varios,2720,2019-02-01,1,,,0,1,,,,
Com. Varios,2975,2019-02-01,1,,,0,1,,,,
Com. Varios,3076,2019-02-01,1,,,0,0,,,,
Com. Varios,3087,2019-02-01,1,,,0,0,,,,
Com. Varios,3130,2019-02-01,1,,,0,0,,,,
Comb.,666,2019-02-01,1,,,0,0,,,,
Comb.,2162,2019-02-01,1,,,0,0,,,,
Comb.,2356,2019-02-01,1,,,0,0,,,,
Comb. Ley,730,2019-02-01,1,,,0,0,,,,
Comb. Ley,2211,2019-02-01,1,,,0,0,,,,
Comb. Reventa,1033,2019-02-01,1,,,0,0,,,,
Comb. Reventa,2636,2019-02-01,1,,,0,1,,,,
Comb. Reventa,3122,2019-02-01,1,,,0,0,,,,
Gondola,302,2019-02-01,1,,,0,1,,,,
Gondola,661,2019-02-01,1,,,0,1,,,,
Gondola,957,2019-02-01,1,579840.3508882384,16235.558200539668,0,1,,,,
Gondola,974,2019-02-01,1,1971611.7759258675,78864.48877182782,0,1,,,,
Gondola,1419,2019-02-01,1,,,0,0,,,,
Gondola,2113,2019-02-01,1,,,0,1,,,,
Gondola,2306,2019-02-01,1,,,0,0,,,,
Gondola,2983,2019-02-01,1,,,0,1,,,,
Miscelaneo,525,2019-02-01,1,26241531.22013612,,0,1,,,,
Miscelaneo,782,2019-02-01,1,,,0,1,,,,
Miscelaneo,907,2019-02-01,1,,,0,0,,,,
Miscelaneo,1503,2019-02-01,1,,,0,1,,,,
